CAS#,CAS,Substance,PrimaryMoA,MolarMass(g/mol),Tm [oC],Pvap25 [Pa],Sol25 [mg/L],Kow [-],pKa1 [-],pKb1 [-],kdeg(water) [s-1],kdeg(sed) [s-1],kdeg(soil) [s-1],OrigenQuality-Acute EC50,SelectTaxa-Acute EC50,DataType-Acute EC50,RiskEndpoint-Acute EC50,#ToxData-Acute EC50,#Species-Acute EC50,#TaxClass-Acute EC50,10LogSSDMedianConcentration(ug/L)-MuAcute EC50,10LogSSDSlope(ug/L)-SigmaAcute EC50,Remark on acute SSD slope,QualityScore-Acute EC50,Remarks-Acute EC50,OrigenQuality-Chronic NOEC,SelectTaxa-Chronic NOEC,DataType-Chronic NOEC,RiskEndpoint-Chronic NOEC,#ToxData-Chronic NOEC,#Species-Chronic NOEC,#TaxClass-Chronic NOEC,10LogSSDMedianConcentration(ug/L)-MuChronic NOEC,10LogSSDSlope(ug/L)-SigmaChronic NOEC,Remark on chronic SSD slope,QualityScore-Chronic NOEC,Remarks-Chronic NOEC,Filter
142459583,142459-58-3,Flufenacet,anilide,363.34,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,8,6,3,3.59,0.25,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,21,8,6,1.9722,1.424,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,142459-58-3
161326347,161326-34-7,Fenamidone,imidazole,311.41,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,8,6,3,2.54,0.658,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,15,7,5,1.9565,0.7469,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,161326-34-7
175013180,175013-18-0,Pyraclostrobin,strobin,387.83,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,14,8,5,1.32,0.728,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,15,9,5,1.1703,0.9956,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,175013-18-0
1928434,1928-43-4,"2-(2,4-Dichlorophenoxy)acetic acid, 2-Ethylhexyl ester",1928434,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,29,8,3,3.1,1.3,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,16,9,6,2.598,0.7803,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,1928-43-4
7439896,7439-89-6,Iron,Iron,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,80,8,6,4.49,0.832,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,40,6,5,3.0417,1.2941,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,7439-89-6
7440484,7440-48-4,Cobalt,Cobalt,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,137,7,5,3.62,1.13,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,153,7,4,1.7369,1.1726,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,7440-48-4
25954136,25954-13-6,Fosamine ammonium,INHIBITS BUD FORMATION,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,7,3,5.43,0.386,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,12,7,4,4.499,0.6818,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,25954-13-6
81334341,81334-34-1,"2-(4,5-Dihydro-4-methyl-4-(1-methylethyl)-5-oxo-1H-imidazol-2-yl)-3-pyridinecarboxylic acid",imidazolinone,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,16,9,3,4.76,0.55,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,18,10,6,4.2054,1.2465,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,81334-34-1
100784201,100784-20-1,Halosulfuron,100784201,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,12,7,3,4.98,0.273,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,18,9,6,1.8078,1.9977,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,100784-20-1
135410207,135410-20-7,(1E)-N-[(6-Chloro-3-pyridinyl)methyl]-N'-cyano-N-methylethanimidamide,pyridylmethylamine,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,10,4,3.27,1.79,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,10,6,4,3.1661,1.4218,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,135410-20-7
141112290,141112-29-0,(5-Cyclopropyl-4-isoxazolyl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone,cyclopropylisoxazole,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,6,3,3.27,1.17,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,8,6,5,0.7087,1.1082,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,141112-29-0
173584446,173584-44-6,"(4aS)-7-Chloro-2,5-dihydro-2-[[(methoxycarbonyl)[4-(trifluoromethoxy)phenyl]amino]carbonyl]indeno[1,2-e][1,3,4]oxadiazine-4a(3H)-carboxylic acid methyl ester",oxadiazine,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,8,3,2.53,0.522,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,16,8,5,2.2647,0.5997,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,173584-44-6
219714962,219714-96-2,"2-(2,2-Difluoroethoxy)-N-(5,8-dimethoxy[1,2,4]triazolo[1,5-c]pyrimidin-2-yl)-6-(trifluoromethyl)benzenesulfonamide",triazolopyrimidine,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,13,10,5,4.9,0.855,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Strictly Measured GeoAvg Chronic NOEC,13,8,6,2.5869,2.3505,"Slope too high to be realistic, replace by 0.7",1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,219714-96-2
79083,79-08-3,Bromoacetic acid,Alkylation / arylation based reactivity,138.95,29.19,17.4623,85411,2.69153480392692,2.9,,3.55293924359451e-07,3.50074333616134e-07,1.13259343228749e-06,AllData,AllTaxa,Acute EC50 HC50,Extrapolated GeoAvg Acute EC50,12,10,3,3.89,0.681,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,2,3.8529,0.6814,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,79-08-3
7440428,7440-42-8,Boron,Boron,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Extrapolated GeoAvg Acute EC50,55,10,5,4.96,0.452,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,137,10,5,4.1464,0.4524,,1211,Chronic NOEC not extrapolated - Enough species (6-10) for ERA with SSDs,7440-42-8
76578126,76578-12-6,Quizalofop,aryloxyphenoxypropionic,344.76,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Extrapolated GeoAvg Acute EC50,2,8,1,4.69,0.836,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,2,8,1,4.1822,0.8363,,1222,Chronic NOEC extrapolated from Chronic EC50 - Enough species (6-10) for ERA with SSDs,76578-12-6
95169,95-16-9,Benzothiazole,95169,135.19,56.58,9.89086,1120,147.910838816821,,11.6,4.78378191304121e-09,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,22,10,5,4.58,0.581,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,8,3,3.8631,0.3479,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,95-16-9
148798,148-79-8,Thiabendazole,benzimidazole,201.25,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,31,10,3,3.53,0.768,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,17,7,3,2.1544,0.8689,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,148-79-8
16484778,16484-77-8,mecoprop-p,phenoxypropanoic,214.65,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,11,9,6,4.9,0.334,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,6,3.5855,0.7641,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,16484-77-8
26225796,26225-79-6,Ethofumesate,benzofuranyl alkylsulfonate,286.35,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,32,10,3,4.35,0.712,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,15,7,3,3.6002,0.6175,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,26225-79-6
54739183,54739-18-3,Fluvoxamin,54739183,318.34,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,6,6,2,3.47,0.404,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,2,2.8247,0.396,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,54739-18-3
71626114,71626-11-4,Benalaxyl,xylylalanine,325.41,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,8,8,2,4.04,0.332,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,8,2,2.6499,0.4994,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,71626-11-4
87392129,87392-12-9,S-Metolachlor,87392129,283.8,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,8,8,5,3.66,1.04,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,8,5,2.6607,0.995,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,87392-12-9
145701231,145701-23-1,Florasulam,triazolopyrimidine,360.3,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,9,7,4,4.87,0.672,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,9,7,4,4.2759,0.7086,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,145701-23-1
161050584,161050-58-4,Methoxyfenozide,moulting hormone agonists,368.48,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,6,6,3,3.41,0.253,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,3,2.7282,0.4282,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,161050-58-4
208465218,208465-21-8,Mesosulfuron-methyl,pyrimidinylsulfonylurea,503.51,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,10,6,4.55,0.931,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,10,6,3.8898,1.1942,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,208465-21-8
2634335,2634-33-5,"1,2-Benzisothiazol-3(2H)-one",2634335,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,20,9,3,3.29,0.696,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,15,6,3,2.0209,0.6884,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,2634-33-5
7553562,7553-56-2,Iodine,7553562,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,12,7,3,3.13,0.875,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,9,7,3,2.5072,1.0807,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,7553-56-2
7722841,7722-84-1,Hydrogen peroxide (H2O2),7722841,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,24,9,3,4.44,0.717,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,25,8,4,4.0117,1.5507,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,7722-84-1
23422539,23422-53-9,"N,N-Dimethyl-N'-[3[[(methylamino)carbonyl]oxy]phenyl]methanimidamide hydrochloride (1:1)",formamidine,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,12,6,3,3.36,0.649,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,3,2.3705,0.7445,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,23422-53-9
25606411,25606-41-1,propamocarb-hydrochloride,SYSTEMIC FUNGICIDE,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,8,4,5.16,0.367,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,8,4,4.227,0.5148,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,25606-41-1
26530201,26530-20-1,2-Octyl-3(2H)-isothiazolone,thiazole,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,24,10,3,1.99,0.305,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,15,9,3,1.1989,0.4227,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,26530-20-1
29450451,29450-45-1,"2-(4-Chloro-2-methylphenoxy)acetic acid, 2-Ethylhexyl ester",29450451,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,7,4,2.97,0.575,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,4,2.0644,0.9976,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,29450-45-1
57960197,57960-19-7,"2-(Acetyloxy)-3-dodecyl-1,4-naphthalenedione",unclassified acaricides,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,13,9,5,2.7,1.97,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,9,5,2.0549,0.784,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,57960-19-7
68157608,68157-60-8,N-(2-Chloro-4-pyridinyl)-N'-phenylurea,growth stimulators,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,7,5,2.07,1.84,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,7,5,1.3827,1.6242,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,68157-60-8
81335775,81335-77-5,Imazethapyr(Acid),imidazolinone,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,10,5,5.08,0.403,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,13,9,5,4.489,0.4747,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,81335-77-5
96182535,96182-53-5,Phostebupirim,pyrimidine organothiophosphate,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,9,7,3,1.48,1.44,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,6,3,0.6715,1.5862,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,96182-53-5
112143825,112143-82-5,"[[1-[(Dimethylamino)carbonyl]-3-(1,1-dimethylethyl)-1H-1,2,4-triazol-5-yl]thio]acetic acid ethyl ester",unclassified insecticides,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,8,6,3,3.34,1.39,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,6,3,2.2519,1.6718,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,112143-82-5
129630199,129630-19-9,2-[2-Chloro-5-[4-chloro-5-(difluoromethoxy)-1-methyl-1H-pyrazol-3-yl]-4-fluorophenoxy]acetic acid ethyl ester,phenylpyrazole,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,15,10,6,1.85,1.61,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,14,10,6,0.9814,1.925,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,129630-19-9
144550367,144550-36-7,"4-Iodo-2-[[[[(4-methoxy-6-methyl-1,3,5-triazin-2-yl)amino]carbonyl]amino]sulfonyl]benzoic acid methyl ester sodium salt (1:1)",144550367,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,10,6,4.42,1.15,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,10,6,3.7198,1.2752,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,144550-36-7
150114719,150114-71-9,"4-Amino-3,6-dichloro-2-pyradinecarboxylic acid",150114719,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,7,4,4.93,0.203,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,7,4,4.412,0.2457,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,150114-71-9
155569918,155569-91-8,(4''R)-4''-Deoxy-4''-(methylamino)avermectin B1 benzoate (1:1),155569918,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,7,3,1.6,1.66,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,7,3,0.7394,1.7071,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,155569-91-8
158062670,158062-67-0,flonicamid,nicotinoid,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,7,4,4.98,0.216,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,8,5,4.4366,0.1602,"Slope too low to be realistic, replace by 0.7",1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,158062-67-0
243973208,243973-20-8,"2,2-Dimethylpropanoic acid 8-(2,6-diethyl-4-methylphenyl)-1,2,4,5- tetrahydro-7-oxo-7H-pyrazolo[1,2-d][1,4,5]oxadiazepin-9-yl ester",phenylpyrazole,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,10,10,6,3.63,0.575,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,9,6,2.5876,0.6793,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,243973-20-8
283594901,283594-90-1,"3,3-Dimethylbutanoic acid 2-oxo-3-(2,4,6-trimethylphenyl)-1-oaxspiro[4.4]non-3-en-4-yl ester",tetronic acid,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,13,9,5,2,1.13,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,13,9,5,1.0855,1.1191,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,283594-90-1
335104842,335104-84-2,"2-[2-Chloro-4-(methylsulfonyl)-3-[(2,2,2-trifluoroethoxy)methyl]benzoyl]-1,3-cyclohexanedione",335104842,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,7,6,4,4.04,1.25,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,6,4,3.2665,1.3241,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,335104-84-2
111991094,111991-09-4,Nicosulfuron,sulfonylurea,410.42,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Extrapolated GeoAvg Acute EC50,7,10,3,4.9,1.32,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,8,2,4.6138,1.3247,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,111991-09-4
94111,94-11-1,"2-(2,4-Dichlorophenoxy)acetic acid, 1-Methylethyl ester",phenoxyacetic,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Extrapolated GeoAvg Acute EC50,7,6,2,2.92,0.839,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,5,6,2,2.1069,0.8392,,1223,Chronic NOEC extrapolated from Acute NOEC - Enough species (6-10) for ERA with SSDs,94-11-1
75070,75-07-0,Acetaldehyde,Carbonyl reactivity,44.053,-106.38,121303,570000,0.676082975391982,,,4.50704315282944e-06,1.13259343228749e-06,3.50074333616134e-06,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,22,10,2,4.95,0.821,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,22,10,2,3.9493,0.8209,,1224,Chronic NOEC extrapolated from Acute EC50 - Enough species (6-10) for ERA with SSDs,75-07-0
4170303,4170-30-3,Crotonaldehyde,4170303,70.091,-80.57,4198.95,145000,3.98107170553497,,,4.15675482488933e-06,1.13259343228749e-06,3.50074333616134e-06,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,21,7,4,4.01,0.956,,1211,Acute EC50 not extrapolated - Enough species (6-10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,21,7,4,3.0117,0.9561,,1224,Chronic NOEC extrapolated from Acute EC50 - Enough species (6-10) for ERA with SSDs,4170-30-3
